order_id,amount,profit,quantity,category,sub_category
B-26168,330,81,1,Furniture,Bookcases
B-26169,10,-2,2,Clothing,Leggings
B-26170,391,90,6,Electronics,Phones
B-26170,15,2,1,Clothing,Leggings
B-26170,83,12,2,Furniture,Chairs
B-26170,98,12,2,Clothing,Hankerchief
B-26170,48,6,1,Clothing,Saree
B-26170,188,-193,2,Electronics,Electronic Games
B-26171,31,14,3,Clothing,Stole
B-26172,37,17,3,Clothing,Hankerchief
B-26173,487,143,4,Electronics,Phones
B-26174,133,-56,2,Furniture,Chairs
B-26174,105,26,8,Clothing,Leggings
B-26174,122,11,4,Clothing,Hankerchief
B-26174,32,1,2,Clothing,Stole
B-26174,610,-66,2,Furniture,Tables
B-26174,245,-78,3,Clothing,Saree
B-26174,537,107,3,Clothing,Saree
B-26174,30,13,1,Clothing,T-shirt
B-26174,144,-7,4,Electronics,Electronic Games
B-26175,765,-36,3,Electronics,Electronic Games
B-26175,31,2,2,Clothing,Hankerchief
B-26175,120,1,1,Furniture,Chairs
B-26175,68,-27,3,Electronics,Accessories
B-26176,55,4,2,Clothing,Stole
B-26177,80,22,3,Clothing,Stole
B-26177,119,56,7,Clothing,Saree
B-26177,616,-69,7,Furniture,Furnishings
B-26177,137,63,3,Clothing,Stole
B-26177,122,-66,9,Electronics,Accessories
B-26178,185,-26,6,Furniture,Chairs
B-26179,86,-55,6,Clothing,Saree
B-26179,417,49,3,Electronics,Electronic Games
B-26179,29,11,4,Clothing,Skirt
B-26180,20,-22,1,Furniture,Furnishings
B-26181,34,-12,5,Clothing,Leggings
B-26182,37,3,3,Clothing,Hankerchief
B-26182,140,6,5,Clothing,Saree
B-26182,25,-5,4,Clothing,Saree
B-26182,139,14,3,Clothing,Stole
B-26183,48,6,1,Clothing,Saree
B-26184,88,11,3,Electronics,Accessories
B-26184,231,99,2,Electronics,Electronic Games
B-26184,59,24,6,Clothing,Kurti
B-26184,396,-31,9,Clothing,Saree
B-26185,59,30,3,Clothing,Leggings
B-26185,414,199,3,Electronics,Phones
B-26186,785,52,2,Electronics,Phones
B-26186,29,8,5,Clothing,Hankerchief
B-26187,527,26,3,Electronics,Electronic Games
B-26187,1069,0,6,Clothing,Saree
B-26187,20,-2,1,Electronics,Accessories
B-26188,223,4,3,Electronics,Phones
B-26188,27,0,2,Clothing,Leggings
B-26188,206,-206,3,Clothing,Saree
B-26189,87,32,9,Clothing,Skirt
B-26189,118,35,7,Clothing,T-shirt
B-26189,30,13,1,Clothing,T-shirt
B-26189,582,262,5,Furniture,Furnishings
B-26190,8,2,2,Clothing,Skirt
B-26191,171,68,7,Clothing,Stole
B-26191,36,-7,1,Electronics,Electronic Games
B-26191,36,15,3,Clothing,Stole
B-26191,52,11,5,Clothing,Leggings
B-26192,57,28,2,Clothing,Kurti
B-26193,44,-8,3,Clothing,Stole
B-26193,444,-200,4,Electronics,Phones
B-26193,121,41,4,Clothing,Stole
B-26193,168,-51,2,Furniture,Bookcases
B-26193,534,0,3,Clothing,Saree
B-26193,86,-55,6,Clothing,Saree
B-26193,19,-2,2,Clothing,Leggings
B-26193,98,-45,2,Furniture,Chairs
B-26193,729,-492,5,Furniture,Bookcases
B-26194,32,-12,1,Furniture,Chairs
B-26195,88,16,4,Clothing,Stole
B-26196,61,-25,4,Electronics,Accessories
B-26196,25,-5,4,Clothing,Saree
B-26196,16,-5,2,Clothing,Stole
B-26196,476,0,3,Furniture,Chairs
B-26196,17,2,2,Clothing,Skirt
B-26197,67,-42,3,Clothing,Stole
B-26198,1120,199,6,Clothing,Saree
B-26199,527,26,3,Electronics,Electronic Games
B-26199,119,1,1,Furniture,Chairs
B-26199,579,139,3,Electronics,Printers
B-26199,21,-12,3,Clothing,Hankerchief
B-26200,1027,441,8,Clothing,Saree
B-26201,6,1,1,Clothing,Kurti
B-26202,319,102,6,Electronics,Accessories
B-26203,226,58,3,Electronics,Accessories
B-26204,69,-67,4,Clothing,Kurti
B-26205,785,52,2,Electronics,Phones
B-26205,42,-6,4,Clothing,Saree
B-26205,115,47,2,Electronics,Accessories
B-26205,31,-7,5,Clothing,Skirt
B-26206,172,-103,3,Furniture,Chairs
B-26206,255,76,9,Clothing,Hankerchief
B-26206,32,3,8,Clothing,Hankerchief
B-26206,146,7,2,Electronics,Phones
B-26206,14,-3,2,Clothing,Leggings
B-26207,27,-20,2,Clothing,Hankerchief
B-26207,1250,486,7,Clothing,Saree
B-26208,41,11,6,Clothing,Hankerchief
B-26208,11,-8,2,Clothing,Skirt
B-26208,45,17,1,Electronics,Accessories
B-26208,27,4,1,Clothing,Hankerchief
B-26208,1137,568,2,Clothing,Trousers
B-26209,43,17,2,Clothing,T-shirt
B-26209,465,-33,4,Electronics,Phones
B-26210,66,-12,5,Clothing,Stole
B-26211,336,123,3,Electronics,Phones
B-26212,33,-29,3,Clothing,Shirt
B-26213,561,212,3,Clothing,Saree
B-26214,206,-206,3,Clothing,Saree
B-26214,45,12,7,Clothing,Hankerchief
B-26215,30,-5,2,Furniture,Furnishings
B-26215,257,-3,2,Furniture,Bookcases
B-26215,29,-18,7,Clothing,Skirt
B-26215,287,66,6,Clothing,Kurti
B-26216,560,44,3,Clothing,Saree
B-26217,360,32,3,Clothing,Saree
B-26218,89,-4,5,Clothing,Saree
B-26218,1316,-527,7,Electronics,Electronic Games
B-26218,88,11,3,Electronics,Accessories
B-26219,446,53,3,Electronics,Printers
B-26219,122,15,3,Electronics,Accessories
B-26219,24,-9,4,Clothing,Saree
B-26219,1824,-1303,8,Electronics,Phones
B-26219,774,170,3,Electronics,Accessories
B-26220,119,-24,4,Furniture,Furnishings
B-26221,14,2,1,Clothing,Hankerchief
B-26221,62,6,5,Clothing,Hankerchief
B-26221,442,31,2,Electronics,Electronic Games
B-26222,141,7,7,Clothing,Saree
B-26222,128,55,1,Clothing,Saree
B-26222,190,68,8,Clothing,T-shirt
B-26223,120,23,5,Clothing,Stole
B-26223,188,-193,2,Electronics,Electronic Games
B-26223,55,-33,2,Furniture,Chairs
B-26224,11,-2,4,Clothing,Hankerchief
B-26224,21,-17,3,Clothing,Shirt
B-26224,396,-31,9,Clothing,Saree
B-26224,1117,447,10,Furniture,Bookcases
B-26225,100,12,2,Clothing,T-shirt
B-26226,133,5,5,Clothing,Stole
B-26227,168,-111,2,Electronics,Phones
B-26228,180,54,4,Clothing,T-shirt
B-26228,381,144,2,Clothing,Saree
B-26228,170,73,2,Electronics,Accessories
B-26229,36,-7,1,Electronics,Electronic Games
B-26230,23,-6,4,Clothing,Hankerchief
B-26231,74,-51,3,Clothing,Stole
B-26231,89,6,5,Clothing,Saree
B-26231,941,-203,3,Furniture,Tables
B-26231,365,107,3,Electronics,Phones
B-26232,26,11,2,Clothing,Hankerchief
B-26232,276,-21,2,Electronics,Phones
B-26232,117,36,2,Clothing,Trousers
B-26232,40,18,1,Electronics,Accessories
B-26232,487,-23,3,Electronics,Printers
B-26232,1622,248,3,Electronics,Phones
B-26232,122,15,3,Electronics,Accessories
B-26233,674,-187,2,Furniture,Tables
B-26233,12,-2,3,Clothing,Hankerchief
B-26233,79,39,2,Clothing,Shirt
B-26233,257,-3,2,Furniture,Bookcases
B-26234,157,5,9,Clothing,Saree
B-26235,670,15,5,Furniture,Bookcases
B-26235,152,23,3,Furniture,Furnishings
B-26235,22,-8,4,Clothing,Hankerchief
B-26235,54,27,2,Clothing,Stole
B-26236,27,5,2,Clothing,Skirt
B-26237,45,0,2,Clothing,Stole
B-26238,425,208,7,Clothing,Saree
B-26238,44,-32,3,Clothing,Stole
B-26238,852,51,5,Furniture,Bookcases
B-26238,193,33,5,Electronics,Accessories
B-26239,161,40,3,Clothing,Stole
B-26239,29,3,2,Clothing,Stole
B-26239,46,13,3,Clothing,Hankerchief
B-26239,693,254,6,Clothing,Saree
B-26240,97,-45,4,Clothing,Saree
B-26240,34,12,2,Clothing,Stole
B-26241,1246,62,3,Furniture,Bookcases
B-26241,143,-124,5,Clothing,Saree
B-26241,44,14,3,Clothing,Hankerchief
B-26241,18,3,2,Clothing,Hankerchief
B-26241,934,-916,7,Electronics,Electronic Games
B-26241,85,13,2,Clothing,Shirt
B-26241,550,242,5,Furniture,Furnishings
B-26241,600,102,5,Electronics,Electronic Games
B-26242,29,10,2,Clothing,Stole
B-26243,135,54,5,Clothing,Kurti
B-26243,494,54,4,Furniture,Bookcases
B-26243,424,-272,5,Electronics,Phones
B-26244,64,27,5,Clothing,Hankerchief
B-26245,27,-15,1,Clothing,Stole
B-26246,165,30,3,Clothing,Stole
B-26247,8,-2,3,Clothing,Hankerchief
B-26247,57,27,2,Clothing,Shirt
B-26247,155,5,3,Clothing,Stole
B-26248,44,-40,3,Clothing,Stole
B-26248,147,73,3,Clothing,Stole
B-26248,138,11,5,Clothing,Stole
B-26248,91,15,6,Clothing,T-shirt
B-26248,313,-13,5,Furniture,Bookcases
B-26249,34,10,2,Clothing,T-shirt
B-26250,21,-17,3,Clothing,Shirt
B-26251,212,-24,2,Furniture,Chairs
B-26252,105,46,2,Clothing,Stole
B-26252,1824,-1303,8,Electronics,Phones
B-26252,32,7,3,Clothing,Hankerchief
B-26252,67,2,4,Clothing,T-shirt
B-26253,74,-51,3,Clothing,Stole
B-26253,689,90,5,Clothing,Saree
B-26254,42,-3,1,Electronics,Electronic Games
B-26254,79,33,4,Clothing,Stole
B-26254,85,24,10,Clothing,Hankerchief
B-26254,147,44,3,Clothing,Saree
B-26254,1599,37,6,Electronics,Electronic Games
B-26255,313,44,3,Electronics,Electronic Games
B-26255,165,46,3,Furniture,Furnishings
B-26255,429,17,3,Furniture,Chairs
B-26256,510,234,6,Electronics,Electronic Games
B-26256,64,27,5,Clothing,Hankerchief
B-26256,82,27,3,Clothing,Kurti
B-26256,216,-135,3,Furniture,Chairs
B-26257,42,-26,2,Clothing,Kurti
B-26258,86,-21,1,Electronics,Electronic Games
B-26258,147,21,3,Furniture,Furnishings
B-26258,209,-21,2,Electronics,Electronic Games
B-26258,77,-43,8,Clothing,Stole
B-26258,111,9,4,Clothing,Stole
B-26258,97,14,2,Clothing,T-shirt
B-26258,40,-37,3,Clothing,Stole
B-26258,61,25,4,Clothing,Saree
B-26258,19,0,3,Clothing,Skirt
B-26259,38,-13,3,Clothing,Stole
B-26260,86,-55,6,Clothing,Saree
B-26260,32,-5,5,Clothing,Hankerchief
B-26260,213,4,14,Clothing,Shirt
B-26260,128,4,3,Clothing,Saree
B-26260,10,-1,1,Clothing,Leggings
B-26261,207,37,4,Clothing,Hankerchief
B-26261,693,254,6,Clothing,Saree
B-26261,656,-36,2,Furniture,Bookcases
B-26262,34,-6,4,Clothing,Leggings
B-26262,248,-70,3,Furniture,Chairs
B-26262,34,-6,4,Clothing,Leggings
B-26262,23,-5,7,Clothing,Hankerchief
B-26262,1069,0,6,Clothing,Saree
B-26262,18,2,3,Clothing,Hankerchief
B-26262,600,102,5,Electronics,Electronic Games
B-26262,341,160,7,Clothing,Stole
B-26263,632,-114,4,Furniture,Tables
B-26264,40,-33,5,Clothing,Hankerchief
B-26265,22,-6,1,Furniture,Furnishings
B-26266,119,56,7,Clothing,Saree
B-26267,829,19,4,Electronics,Printers
B-26267,110,12,7,Clothing,Stole
B-26267,36,15,3,Clothing,Stole
B-26267,709,-100,5,Electronics,Phones
B-26267,877,395,2,Furniture,Bookcases
B-26268,45,12,7,Clothing,Hankerchief
B-26268,41,11,6,Clothing,Hankerchief
B-26269,291,93,2,Electronics,Printers
B-26269,1461,202,5,Furniture,Tables
B-26269,43,0,3,Clothing,Saree
B-26269,193,46,1,Electronics,Printers
B-26269,89,-37,4,Clothing,Shirt
B-26269,85,2,6,Clothing,Stole
B-26269,16,8,2,Clothing,Hankerchief
B-26269,79,-2,2,Furniture,Furnishings
B-26269,1275,-1148,7,Furniture,Bookcases
B-26269,379,63,2,Clothing,Saree
B-26270,278,39,5,Furniture,Chairs
B-26270,341,44,7,Furniture,Furnishings
B-26270,27,4,1,Clothing,Hankerchief
B-26270,187,30,4,Electronics,Accessories
B-26270,74,23,8,Clothing,Skirt
B-26270,68,-27,3,Electronics,Accessories
B-26270,128,4,3,Clothing,Saree
B-26270,111,11,9,Clothing,Hankerchief
B-26270,37,17,3,Clothing,Hankerchief
B-26271,151,29,5,Clothing,Hankerchief
B-26272,70,26,5,Clothing,Hankerchief
B-26272,741,267,5,Furniture,Bookcases
B-26272,59,30,3,Clothing,Leggings
B-26272,1314,342,3,Furniture,Bookcases
B-26272,30,-35,1,Furniture,Chairs
B-26272,224,87,3,Clothing,Trousers
B-26273,37,-53,3,Clothing,Saree
B-26274,30,-10,2,Clothing,Stole
B-26274,484,28,3,Electronics,Printers
B-26274,891,0,5,Clothing,Saree
B-26274,24,-1,2,Clothing,Hankerchief
B-26274,20,-8,2,Clothing,Saree
B-26275,31,11,3,Clothing,Skirt
B-26276,193,-275,3,Electronics,Phones
B-26277,12,1,2,Clothing,Hankerchief
B-26278,298,74,2,Furniture,Bookcases
B-26279,216,-135,3,Furniture,Chairs
B-26279,216,50,4,Clothing,Stole
B-26279,45,1,3,Clothing,T-shirt
B-26279,48,-8,8,Clothing,Stole
B-26279,96,22,5,Clothing,Stole
B-26279,34,3,3,Clothing,Saree
B-26279,45,8,4,Clothing,Skirt
B-26279,134,-34,2,Furniture,Chairs
B-26279,43,0,3,Clothing,Saree
B-26279,149,48,6,Clothing,Stole
B-26280,45,6,3,Clothing,Shirt
B-26281,245,10,2,Furniture,Bookcases
B-26281,109,52,2,Clothing,Stole
B-26282,333,-15,3,Electronics,Phones
B-26282,299,113,2,Furniture,Bookcases
B-26283,111,11,9,Clothing,Hankerchief
B-26284,215,-30,2,Clothing,Saree
B-26284,111,9,4,Clothing,Stole
B-26284,90,17,3,Clothing,Hankerchief
B-26284,941,-203,3,Furniture,Tables
B-26284,40,10,2,Clothing,Stole
B-26284,729,-492,5,Furniture,Bookcases
B-26284,85,13,2,Clothing,Shirt
B-26284,460,31,3,Furniture,Bookcases
B-26285,161,-229,8,Furniture,Furnishings
B-26285,341,-85,6,Clothing,Trousers
B-26286,2093,721,5,Furniture,Chairs
B-26286,114,8,3,Electronics,Accessories
B-26286,100,-58,4,Clothing,Hankerchief
B-26286,210,50,4,Clothing,Hankerchief
B-26286,149,15,3,Clothing,Saree
B-26286,450,190,4,Furniture,Bookcases
B-26286,342,-103,4,Electronics,Electronic Games
B-26286,47,-3,2,Clothing,Stole
B-26286,46,0,2,Electronics,Electronic Games
B-26287,143,-124,5,Clothing,Saree
B-26287,711,-8,4,Clothing,Saree
B-26287,68,-62,2,Clothing,Trousers
B-26287,2830,-1981,13,Furniture,Bookcases
B-26287,246,98,5,Clothing,Hankerchief
B-26287,216,50,4,Clothing,Stole
B-26287,17,2,2,Clothing,Skirt
B-26288,146,19,5,Clothing,Stole
B-26288,119,43,5,Clothing,T-shirt
B-26288,44,7,3,Clothing,Kurti
B-26288,67,2,4,Clothing,T-shirt
B-26288,193,8,4,Clothing,T-shirt
B-26288,353,90,8,Clothing,Saree
B-26288,26,7,4,Clothing,Hankerchief
B-26288,60,-12,4,Clothing,Hankerchief
B-26288,42,-3,1,Electronics,Electronic Games
B-26288,139,14,3,Clothing,Stole
B-26288,51,21,3,Clothing,T-shirt
B-26289,19,-1,1,Clothing,Shirt
B-26289,933,166,5,Clothing,Saree
B-26289,169,0,3,Electronics,Accessories
B-26289,58,-42,2,Furniture,Chairs
B-26290,32,-5,5,Clothing,Hankerchief
B-26290,45,-28,2,Clothing,Stole
B-26290,176,-13,5,Furniture,Furnishings
B-26290,55,3,3,Clothing,T-shirt
B-26290,119,1,1,Furniture,Chairs
B-26290,42,-26,2,Clothing,Kurti
B-26290,648,50,6,Electronics,Electronic Games
B-26291,224,87,3,Clothing,Trousers
B-26292,192,-146,3,Clothing,Saree
B-26292,120,1,1,Furniture,Chairs
B-26292,362,127,1,Furniture,Bookcases
B-26292,765,8,6,Clothing,Saree
B-26292,147,44,3,Clothing,Saree
B-26292,487,-23,3,Electronics,Printers
B-26292,635,-349,5,Clothing,Saree
B-26292,534,0,3,Clothing,Saree
B-26293,212,97,7,Clothing,Hankerchief
B-26293,70,-14,2,Furniture,Furnishings
B-26293,27,1,1,Clothing,Stole
B-26293,246,98,5,Clothing,Hankerchief
B-26294,224,58,3,Electronics,Phones
B-26295,1622,248,3,Electronics,Phones
B-26295,482,-6,7,Electronics,Electronic Games
B-26295,252,56,2,Electronics,Phones
B-26295,165,30,3,Clothing,Stole
B-26295,42,-15,12,Clothing,Skirt
B-26295,424,-272,5,Electronics,Phones
B-26295,62,8,2,Clothing,T-shirt
B-26295,19,-18,4,Clothing,Kurti
B-26295,84,-42,2,Electronics,Accessories
B-26295,122,11,4,Clothing,Hankerchief
B-26296,191,51,5,Clothing,Shirt
B-26296,45,1,3,Clothing,T-shirt
B-26296,24,11,3,Clothing,Hankerchief
B-26296,109,35,6,Clothing,T-shirt
B-26297,43,-43,7,Clothing,Stole
B-26298,26,11,2,Clothing,Hankerchief
B-26299,117,-6,3,Electronics,Phones
B-26299,50,9,6,Clothing,Skirt
B-26299,742,198,2,Furniture,Bookcases
B-26299,93,44,2,Clothing,Stole
B-26299,338,41,7,Clothing,Hankerchief
B-26299,19,8,2,Clothing,Hankerchief
B-26299,98,-5,2,Clothing,Saree
B-26299,46,14,5,Clothing,Skirt
B-26299,26,2,2,Clothing,Hankerchief
B-26300,238,20,2,Clothing,Saree
B-26300,34,-13,5,Clothing,Leggings
B-26300,82,27,3,Clothing,Kurti
B-26300,96,22,5,Clothing,Stole
B-26300,37,-23,4,Clothing,Shirt
B-26300,228,63,3,Electronics,Electronic Games
B-26301,263,-31,9,Electronics,Electronic Games
B-26302,216,50,4,Clothing,Stole
B-26302,14,5,1,Clothing,Hankerchief
B-26302,503,-56,2,Clothing,Trousers
B-26302,172,-103,3,Furniture,Chairs
B-26302,115,25,1,Electronics,Accessories
B-26302,149,48,6,Clothing,Stole
B-26302,89,-37,4,Clothing,Shirt
B-26303,149,-40,2,Electronics,Phones
B-26304,850,289,5,Electronics,Electronic Games
B-26305,74,29,3,Clothing,Stole
B-26306,26,7,4,Clothing,Hankerchief
B-26306,148,72,7,Clothing,T-shirt
B-26306,255,76,9,Clothing,Hankerchief
B-26307,63,1,4,Clothing,T-shirt
B-26308,742,198,2,Furniture,Bookcases
B-26309,18,8,2,Clothing,Hankerchief
B-26309,1145,-706,3,Electronics,Phones
B-26309,76,-50,1,Clothing,Saree
B-26309,85,24,10,Clothing,Hankerchief
B-26309,149,15,3,Clothing,Saree
B-26309,1316,-527,7,Electronics,Electronic Games
B-26309,47,-27,4,Clothing,Saree
B-26309,497,179,3,Furniture,Chairs
B-26310,29,10,2,Clothing,Stole
B-26311,105,33,6,Clothing,Saree
B-26311,671,-309,5,Electronics,Electronic Games
B-26311,450,-90,3,Electronics,Printers
B-26312,527,26,3,Electronics,Electronic Games
B-26313,31,9,2,Clothing,Hankerchief
B-26313,635,-349,5,Clothing,Saree
B-26313,65,-52,3,Electronics,Accessories
B-26314,67,-42,3,Clothing,Stole
